precinct,ward,HVAP_pct,WVAP_pct,BVAP_pct,GARCIA_G15_pct,EMAN_G15_pct,normalized_log_area,WARD,PRECINCT,normalized_centroid_x,normalized_centroid_y,uninsured_pct,female_pct,veteran_pct
12.0,4.0,0.009404388,0.019853709,0.950888193,0.516393443,0.430327869,0.471999771,4.0,12.0,0.78112383,0.427576211,0.068441905,0.655344155,0.06220449
29.0,3.0,0.00234192,0.039812646,0.923887588,0.265151515,0.553030303,0.544717701,3.0,29.0,0.725570182,0.476315133,0.077900623,0.582933345,0.014954815
25.0,49.0,0.095474273,0.561066327,0.230626168,0.173611111,0.361111111,0.362519718,49.0,25.0,0.630693088,0.955734697,0.120060094,0.483871691,0.019938734
14.0,8.0,0.007453416,0.001242236,0.980124223,0.271812081,0.409395973,0.381779044,8.0,14.0,0.803197655,0.25672345,0.175000251,0.531575807,0.031674598
39.0,24.0,0.400599404,0.045954046,0.539460536,0.176923077,0.507692308,0.466444228,24.0,39.0,0.528671644,0.544904221,0.259013981,0.529112082,0.088791849
15.0,6.0,0.00405515,0.00648824,0.97648013,0.153153153,0.477477477,0.566884139,6.0,15.0,0.704391815,0.326464274,0.204611206,0.585629608,0.022986497
15.0,9.0,0.005870843,0.000978474,0.980430522,0.257234727,0.421221865,0.747936691,9.0,15.0,0.819163958,0.0,0.123086731,0.703271841,0.019848549
1.0,4.0,0.077954316,0.485600781,0.223932501,0.483412322,0.440758294,0.445242168,4.0,1.0,0.818856025,0.402781625,0.039546109,0.455129369,0.031055148
38.0,27.0,0.061831153,0.543400721,0.27229488,0.316513761,0.467889908,0.274185077,27.0,38.0,0.712605698,0.679624542,0.061161915,0.469179739,0.037213395
34.0,28.0,0.191071422,0.045833334,0.744642864,0.23853211,0.623853211,0.600951935,28.0,34.0,0.554960495,0.57451072,0.183502909,0.450819233,0.076238334
3.0,9.0,0.002195394,0.0,0.990120742,0.281976744,0.441860465,0.795916863,9.0,3.0,0.794787217,0.047930284,0.10604559,0.703339882,0.032416503
40.0,8.0,0.006872852,0.001718213,0.984536084,0.419243986,0.39862543,0.419521112,8.0,40.0,0.795406316,0.242863919,0.124383571,0.50546432,0.123042767
8.0,10.0,0.28297872,0.013829787,0.690425536,0.228571429,0.4,0.548923988,10.0,8.0,0.955421879,0.227750332,0.12142212,0.701178717,0.009823086
15.0,17.0,0.003838772,0.004798465,0.976967371,0.647435897,0.275641026,0.524391925,17.0,15.0,0.705942585,0.274887246,0.164127045,0.649475222,0.03866139
32.0,11.0,0.113772452,0.660678654,0.003992016,0.509225092,0.346863469,0.487973161,11.0,32.0,0.71450363,0.49360843,0.082414017,0.464633355,0.049318624
23.0,20.0,0.002724796,0.002724796,0.9791099,0.376106195,0.477876106,0.466017763,20.0,23.0,0.743397914,0.35682241,0.089930822,0.597615499,0.070044709
33.0,4.0,0.02374169,0.12820513,0.79677113,0.557377049,0.37704918,0.4560983,4.0,33.0,0.79649876,0.41433286,0.071161042,0.503570483,0.098697176
21.0,25.0,0.063277447,0.571119524,0.117901568,0.642857143,0.297619048,0.441737382,25.0,21.0,0.712352679,0.593505684,0.002450695,0.566522307,0.023187265
28.0,16.0,0.005594406,0.004195804,0.974825174,0.590062112,0.279503106,0.479575375,16.0,28.0,0.681634523,0.346490309,0.088871394,0.627638529,0.040852683
19.0,12.0,0.711182623,0.157683025,0.019308126,0.379182156,0.442379182,0.631108626,12.0,19.0,0.616114102,0.45464246,0.189924548,0.520237032,0.01392562
15.0,20.0,0.828709522,0.053378892,0.099189138,0.549222798,0.378238342,0.547698487,20.0,15.0,0.647021872,0.424008251,0.258796897,0.49414776,0.009380403
29.0,50.0,0.213819371,0.207290528,0.093579975,0.2,0.482758621,0.417406764,50.0,29.0,0.542318026,0.92883871,0.268995633,0.536564258,0.0
6.0,6.0,0.013422819,0.002684564,0.974496644,0.146596859,0.408376963,0.473973987,6.0,6.0,0.747591241,0.295600517,0.174777644,0.615367786,0.084917432
3.0,6.0,0.007312614,0.007312614,0.97989031,0.489655172,0.344827586,0.469501082,6.0,3.0,0.786682834,0.241693027,0.070195627,0.660529344,0.124280783
18.0,48.0,0.0954323,0.43800979,0.299347469,0.242424242,0.496212121,0.230720531,48.0,18.0,0.651453859,0.907960125,0.105428693,0.492842883,0.0671558
26.0,4.0,0.013032147,0.030408342,0.926151169,0.416666667,0.462962963,0.397685132,4.0,26.0,0.790863438,0.422548507,0.042122751,0.514644383,0.140987499
23.0,3.0,0.006479487,0.020518363,0.952483793,0.420382166,0.50955414,0.458134196,3.0,23.0,0.739814622,0.476286543,0.129659643,0.631325301,0.03373494
9.0,1.0,0.547591067,0.345475914,0.034077555,0.389880952,0.416666667,0.372560033,1.0,9.0,0.565503454,0.723995512,0.100231786,0.445520957,0.004025775
43.0,9.0,0.008754864,0.007782101,0.980544746,0.196428571,0.424107143,0.538554582,9.0,43.0,0.761974256,0.110264827,0.107990593,0.520916897,0.029550287
35.0,42.0,0.050215982,0.66846653,0.036177104,0.167381974,0.725321888,0.404910351,42.0,35.0,0.742050682,0.655460303,0.004791038,0.483159346,0.025844211
2.0,39.0,0.050814957,0.624161074,3.76e-10,0.340501792,0.577060932,0.575569309,39.0,2.0,0.472910989,0.903509581,0.081360049,0.682288828,0.069209809
13.0,22.0,0.957533446,0.029668412,0.005235605,0.4,0.497297297,0.444892524,22.0,13.0,0.491567768,0.525878282,0.418558219,0.550108471,0.011279554
40.0,1.0,0.400294337,0.449595288,0.104488598,0.439716312,0.386524823,0.359521382,1.0,40.0,0.629224691,0.665267499,0.073756546,0.438518479,0.028442356
24.0,17.0,0.006960557,0.005800464,0.976798144,0.193939394,0.436363636,0.419378637,17.0,24.0,0.666327338,0.271534878,0.075197507,0.60726895,0.042612557
1.0,33.0,0.661343353,0.199624234,0.025364022,0.203252033,0.682926829,0.448264003,33.0,1.0,0.493685865,0.846619282,0.340893307,0.423143461,0.016434232
32.0,46.0,0.203441296,0.283400819,0.276315782,0.171974522,0.394904459,0.337495186,46.0,32.0,0.660554004,0.852855001,0.136841849,0.532845197,0.039741842
33.0,27.0,0.055330634,0.515519577,0.352226711,0.348275862,0.462068966,0.603098914,27.0,33.0,0.634535198,0.634611745,0.024423605,0.577277097,0.01765825
27.0,27.0,0.091792658,0.209503238,0.645788337,0.209205021,0.389121339,0.592010584,27.0,27.0,0.609313619,0.631650799,0.05022981,0.65220271,0.024085587
37.0,40.0,0.357580377,0.331546726,0.124808573,0.054054054,0.891891892,0.434860101,40.0,37.0,0.605840735,0.932064451,0.214694035,0.466507018,0.011804994
8.0,20.0,0.014760148,0.002460025,0.975399754,0.209836066,0.363934426,0.45342468,20.0,8.0,0.782286694,0.32474101,0.152138016,0.542888124,0.035396058
17.0,6.0,0.008506616,0.003780718,0.985822306,0.175,0.3875,0.504909551,6.0,17.0,0.708209628,0.290118239,0.074460354,0.661735382,0.036019996
2.0,49.0,0.11772316,0.576972844,0.205692103,0.224199288,0.419928826,0.329225613,49.0,2.0,0.624597959,0.937966814,0.211589914,0.468046682,0.032018384
